"","time","U","I","V"
"39",3.8,290254.824799484,9429.45690641973,3599.72231178486
"40",3.9,289969.849844105,9697.31901732188,3632.22902949141
"41",4,289682.560649002,9967.01441351126,3665.64934538202
"42",4.1,289392.892578322,10238.6043954454,3699.98959520595
"43",4.2,289100.780835865,10512.1503141938,3735.25632316475
"44",4.3,288806.160456946,10787.7135794715,3771.45628209806
"45",4.4,288508.966300562,11065.3556673687,3808.59643369614
"46",4.5,288209.133041837,11345.1381277729,3846.68394873825
"47",4.6,287906.595164775,11627.122591481,3885.7262073556
"48",4.7,287601.286955311,11911.3707769976,3925.73079931808
"49",4.8,287293.142494664,12197.9444970173,3966.70552434343
"50",4.9,286982.095653004,12486.905664585,4008.65839242801
"51",5,286668.080083431,12778.3162989322,4051.59762419789
"52",5.1,286351.029216272,13072.2385309835,4095.53165127928
"53",5.2,286030.876253706,13368.7346085302,4140.46911668702
"54",5.3,285707.554164711,13667.8669010649,4186.41887523017
"55",5.4,285380.995680356,13969.6979042725,4233.38999393342
"56",5.5,285051.133289426,14274.2902441731,4281.39175247316
"57",5.6,284717.899234398,14581.7066809098,4330.43364362706
"58",5.7,284381.225507768,14892.0101121766,4380.52537373589
"59",5.8,284041.043848746,15205.263576281,4431.67686317635
"60",5.9,283697.285740303,15521.530254833,4483.89824684377
"61",6,283349.882406611,15840.8734750562,4537.19987464321
"62",6.1,282998.764810849,16163.356711713,4591.59231198781
"63",6.2,282643.863653408,16489.0435886372,4647.086340303
"64",6.3,282285.109370488,16817.9978798667,4703.69295753526
"65",6.4,281922.432133105,17150.2835103698,4761.42337866403
"66",6.5,281555.761846511,17485.9645563554,4820.28903621539
"67",6.6,281185.028150029,17825.1052451614,4880.30158077608
"68",6.7,280810.160417333,18167.7699547121,4941.47288150638
"69",6.8,280431.087757158,18514.0232125357,5003.81502665047
"70",6.9,280047.739014463,18863.9296943349,5067.34032404261
"71",7,279660.042772055,19217.5542221003,5132.06130160775
"72",7.1,279267.927352679,19574.9617617582,5197.99070785493
"73",7.2,278871.320821595,19936.2174203442,5265.14151236182
"74",7.3,278470.150989634,20301.3864426919,5333.52690624891
"75",7.4,278064.345416761,20670.5342076281,5403.16030264159
"76",7.5,277653.831416149,21043.7262236645,5474.05533711839
"77",7.6,277238.536058772,21421.0281241752,5546.22586814379
"78",7.7,276818.386178532,21802.5056620517,5619.6859774837
"79",7.8,276393.308377931,22188.2247038215,5694.44997060179
"80",7.9,275963.229034298,22578.2512232247,5770.53237703511
"81",8,275528.074306584,22972.6512942328,5847.94795074672
"82",8.1,275087.770142733,23371.4910835032,5926.7116704538
"83",8.2,274642.24228765,23774.8368422553,6006.83873992901
"84",8.3,274191.416291769,24182.7548975584,6088.34458827328
"85",8.4,273735.217520234,24595.3116430204,6171.24487015803
"86",8.5,273273.571162716,25012.5735288652,6255.55546603457
"87",8.6,272806.40224386,25434.6070513875,6341.2924823089
"88",8.7,272333.6356344,25861.4787417739,6428.47225147939
"89",8.8,271855.196062922,26293.2551542782,6517.11133223553
"90",8.9,271371.008128324,26730.0028537386,6607.2265095153
"91",9,270880.996312957,27171.7884024261,6698.83479451898
"92",9.1,270385.084996475,27618.6783462121,6791.95342467707
"93",9.2,269883.198470404,28070.7392000421,6886.59986357013
"94",9.3,269375.260953439,28528.037432705,6982.79180079789
"95",9.4,268861.196607493,28990.6394508853,7080.54715179552
"96",9.5,268340.929554496,29458.611582487,7179.88405759435
"97",9.6,267814.383893968,29932.0200592161,7280.8208845247
"98",9.7,267281.483721381,30410.9309984117,7383.37622385825
"99",9.8,266742.153147308,30895.4103841121,7487.56889138728
"100",9.9,266196.316317392,31385.5240473457,7593.41792693832
"101",10,265643.897433135,31881.3376456345,7700.94259381743
"102",10.1,265084.82077352,32382.9166416991,7810.16237818445
"103",10.2,264519.010717488,32890.3262813534,7921.09698835351
"104",10.3,263946.391767266,33403.6315705792,8033.76635401699
"105",10.4,263366.888572582,33922.8972517682,8148.19062539018
"106",10.5,262780.425955753,34448.1877791225,8264.39017227369
"107",10.6,262186.928937681,34979.5672932021,8382.3855830309
"108",10.7,261586.322764746,35517.09959461,8502.19766347728
"109",10.8,260978.532936631,36060.8481168046,8623.84743567895
"110",10.9,260363.485235071,36610.875898031,8747.35613665719
"111",11,259741.105753548,37167.2455523615,8872.74521699614
"112",11.1,259111.320927929,37730.0192398363,9000.03633935042
"113",11.2,258474.057568081,38299.2586356983,9129.25137684983
"114",11.3,257829.242890439,38875.0248987115,9260.41241139788
"115",11.4,257176.804551567,39457.3786385586,9393.54173186101
"116",11.5,256516.670682701,40046.3798823099,9528.66183214548
"117",11.6,255848.769925286,40642.0880399572,9665.79540915869
"118",11.7,255173.031467519,41244.5618690092,9804.96536065172
"119",11.8,254489.385081898,41853.8594381414,9946.19478293995
"120",11.9,253797.761163785,42470.0380898991,10089.5069684985
"121",12,253098.090770988,43093.1544024479,10234.9254034292
"122",12.1,252390.305664366,43723.2641503719,10382.4737647962
"123",12.2,251674.338349462,44360.4222645159,10532.1759178263
"124",12.3,250950.12211916,45004.6827908725,10684.0559129713
"125",12.4,250217.591097376,45656.0988485143,10838.1379828295
"126",12.5,249476.680283776,46314.7225865715,10994.4465389213
"127",12.6,248727.325599523,46980.605140259,11153.0061683187
"128",12.7,247969.463934057,47653.7965859551,11313.8416301222
"129",12.8,247203.033192887,48334.3458953372,11476.9778517839
"130",12.9,246427.972346419,49022.3008885802,11642.4399252737
"131",13,245644.221479788,49717.7081866243,11810.2531030838
"132",13.1,244851.7218437,50420.6131625218,11980.4427940703
"133",13.2,244050.415906276,51131.0598918704,12153.0345591273
"134",13.3,243240.247405887,51849.0911023469,12328.0541066909
"135",13.4,242421.161404965,52574.7481223516,12505.527288071
"136",13.5,241593.104344786,53308.0708287786,12685.4800926059
"137",13.6,240756.024101198,54049.0975939274,12867.9386426386
"138",13.7,239909.870041298,54797.8652315738,13052.9291883113
"139",13.8,239054.593081017,55554.4089422173,13240.4781021745
"140",13.9,238190.14574361,56318.7622575275,13430.6118736095
"141",14,237316.482219029,57090.9569840114,13623.3571030599
"142",14.1,236433.558424147,57871.0231459251,13818.740496071
"143",14.2,235541.332063813,58658.9889274569,14016.7888571334
"144",14.3,234639.76269272,59454.8806142102,14217.5290833295
"145",14.4,233728.81177804,60258.7225340152,14420.9881577788
"146",14.5,232808.442762806,61070.5369971027,14627.1931428826
"147",14.6,231878.621130009,61890.3442356731,14836.1711733626
"148",14.7,230939.314467371,62718.162342898,15047.9494490941
"149",14.8,229990.492532752,63554.0072113923,15262.5552277309
"150",14.9,229032.127320161,64397.8924711983,15480.0158171199
"151",15,228064.193126324,65249.829427323,15700.3585675043
"152",15.1,227086.666617759,66109.8269968765,15923.6108635135
"153",15.2,226099.526898326,66977.8916458578,16149.8001159394
"154",15.3,225102.75557718,67854.0273256371,16378.9537532966
"155",15.4,224096.3368371,68738.2354091896,16611.0992131665
"156",15.5,223080.257503118,69630.5146271329,16846.2639333245
"157",15.6,222054.507111409,70530.8610036282,17084.4753426493
"158",15.7,221019.077978363,71439.2677922025,17325.7608518138
"159",15.8,219973.965269799,72355.7254115556,17570.147843759
"160",15.9,218919.167070233,73280.2213814177,17817.6636639484
"161",16,217854.684452154,74212.7402585222,18068.3356104053
"162",16.1,216780.521545217,75153.263572767,18322.1909235327
"163",16.2,215696.685605303,76101.769763634,18579.2567757166
"164",16.3,214603.187083345,77058.2341169437,18839.5602607132
"165",16.4,213500.039693867,78022.6287020219,19103.1283828229
"166",16.5,212387.260483131,78994.9223093576,19369.9880458502
"167",16.6,211264.869896833,79975.0803888367,19640.1660418541
"168",16.7,210132.891847236,80963.0649886343,19913.6890396883
"169",16.8,208991.353779677,81958.8346948544,20190.5835733355
"170",16.9,207840.286738339,82962.3445720069,20470.8760300384
"171",17,206679.725431194,83973.5461044124,20754.5926382289
"172",17.1,205509.708294039,84992.3871386317,21041.7594552611
"173",17.2,204330.277553504,86018.8118270145,21332.4023549488
"174",17.3,203141.479288944,87052.7605724672,21626.5470149151
"175",17.4,201943.363493112,88094.1699745398,21924.2189037549
"176",17.5,200735.984131501,89142.9727769347,22225.4432680173
"177",17.6,199519.399200252,90199.097816547,22530.2451190124
"178",17.7,198293.670782518,91262.4699741321,22838.6492194463
"179",17.8,197058.865103178,92333.0101267181,23150.6800698934
"180",17.9,195815.052581778,93410.6351018685,23466.3618951077
"181",18,194562.307883587,94495.2576339089,23785.7186301842
"182",18.1,193300.709968665,95586.7863222278,24108.7739065733
"183",18.2,192030.342138805,96685.1255917648,24435.551037958
"184",18.3,190751.292082244,97790.1756558025,24766.0730060006
"185",18.4,189463.651916025,98901.8324811755,25100.3624459665
"186",18.5,188167.518225883,100019.987756014,25438.441632235
"187",18.6,186862.992103528,101144.528860134,25780.3324637035
"188",18.7,185550.17918123,102275.338838204,26126.0564490974
"189",18.8,184229.189663545,103412.296375776,26475.634692192
"190",18.9,182900.138356104,104555.27577834,26829.0878769595
"191",19,181563.1446913,105704.146953469,27186.4362526486
"192",19.1,180218.332750792,106858.775396216,27547.6996188105
"193",19.2,178865.831284676,108019.022177838,27912.8973102792
"194",19.3,177505.773727217,109184.743937993,28282.0481821205
"195",19.4,176138.298209028,110355.792880497,28655.1705945603
"196",19.5,174763.547565563,111532.016772761,29032.2823979043
"197",19.6,173381.66934183,112713.258949027,29413.4009174626
"198",19.7,171992.815793192,113899.358317483,29798.5429384917
"199",19.8,170597.14388216,115090.149371387,30187.7246911676
"200",19.9,169194.815271059,116285.462204286,30580.9618356032
"201",20,167785.99631047,117485.12252943,30978.2694469253
"202",20.1,166370.858023345,118688.951703479,31379.6620004243
"203",20.2,164949.576084687,119896.766754587,31785.1533567918
"204",20.3,163522.330796718,121108.380414957,32194.756747462
"205",20.4,162089.307059431,122323.601157942,32608.4847600702
"206",20.5,160650.69433644,123542.233239778,33026.3493240466
"207",20.6,159206.686616061,124764.076746011,33448.3616963592
"208",20.7,157757.482367531,125988.927642695,33874.5324474225
"209",20.8,156303.284492305,127216.577832416,34304.8714471888
"210",20.9,154844.300270367,128446.815215198,34739.387851438
"211",21,153380.741301488,129679.423754355,35178.0900882829
"212",21.1,151912.823441392,130914.183547299,35620.9858449066
"213",21.2,150440.766732769,132150.870901383,36068.0820545495
"214",21.3,148964.795331113,133389.258414771,36519.3848837619
"215",21.4,147485.137425343,134629.115062378,36974.8997199414
"216",21.5,146002.025153192,135870.206286889,37434.6311591693
"217",21.6,144515.694511335,137112.294094859,37898.5829943668
"218",21.7,143026.38526027,138355.137157893,38366.758203785
"219",21.8,141534.340823938,139598.490918905,38839.1589398484
"220",21.9,140039.808184092,140842.107703421,39315.7865183682
"221",22,138543.037769444,142085.736835909,39796.6414081414
"222",22.1,137044.283339616,143329.124761093,40281.7232209554
"223",22.2,135543.801863921,144572.015170209,40771.030702012
"224",22.3,134041.853395038,145814.149132144,41264.5617207896
"225",22.4,132538.70093763,147055.265229387,41762.3132623594
"226",22.5,131034.61031197,148295.09969873,42264.2814191712
"227",22.6,129529.850012655,149533.386576615,42770.461383326
"228",22.7,128024.691062501,150769.857849054,43280.8474393502
"229",22.8,126519.406861707,152004.243605991,43795.4329574871
"230",22.9,125014.273032393,153236.272200009,44314.2103875205
"231",23,123509.567258652,154465.670409256,44837.1712531445
"232",23.1,122005.569122215,155692.163604434,45364.3061468951
"233",23.2,120502.559933892,156915.475919736,45895.604725655
"234",23.3,119000.822560919,158135.330427549,46431.0557067467
"235",23.4,117500.641250386,159351.449316767,46970.6468646251
"236",23.5,116002.301448908,160563.554074543,47514.3650281828
"237",23.6,114506.089618714,161771.365671287,48062.1960786777
"238",23.7,113012.293050354,162974.604748718,48614.1249482958
"239",23.8,111521.19967221,164172.991810771,49170.1356193575
"240",23.9,110033.097857026,165366.247417136,49730.2111241774
"241",24,108548.276225683,166554.092379216,50294.3335455861
"242",24.1,107067.023448418,167736.247958273,50862.4840181224
"243",24.2,105589.628043755,168912.436065521,51434.6427299017
"244",24.3,104116.378175362,170082.379463918,52010.7889251676
"245",24.4,102647.5614471,171245.801971416,52590.9009075327
"246",24.5,101183.464696523,172402.428665388,53174.9560439114
"247",24.6,99724.3737870812,173551.986087992,53762.93076915
"248",24.7,98270.5733993055,174694.202452173,54354.8005913552
"249",24.8,96822.346821257,175828.807848046,54950.5400979245
"250",24.9,95379.975738511,176955.534449367,55550.1229622777
"251",25,93943.7400239715,178074.116719802,56153.5219512901
"252",25.1,92513.9175278028,179184.291618719,56760.7089334264
"253",25.2,91090.7838677878,180285.798806173,57371.6548875723
"254",25.3,89674.6122203836,181378.380846842,57986.3299125618
"255",25.4,88265.6731128018,182461.783412565,58604.7032373946
"256",25.5,86864.2342164016,183535.755483207,59226.7432321403
"257",25.6,85470.5601417114,184600.049545541,59852.4174195208
"258",25.7,84084.9122353724,185654.421789854,60481.6924871663
"259",25.8,82707.5483793149,186698.632303969,61114.5343005339
"260",25.9,81338.7227924683,187732.445264387,61750.9079164821
"261",26,79978.6858353091,188755.629124255,62390.777597489
"262",26.1,78627.6838175443,189767.956797867,63034.1068265039
"263",26.2,77285.9588092285,190769.205841397,63680.8583224192
"264",26.3,75953.7484556079,191759.158629593,64330.9940561512
"265",26.4,74631.2857959771,192737.602528141,64984.4752673122
"266",26.5,73318.7990868365,193704.330061429,65641.2624814628
"267",26.6,72016.5116296229,194659.139075434,66301.3155279248
"268",26.7,70724.6416032883,195601.832895482,66964.5935581398
"269",26.8,69443.4019019884,196532.220478616,67631.0550645545
"270",26.9,68172.999978137,197450.116560334,68300.6579000154
"271",27,66913.6376910738,198355.341795449,68973.3592976508
