"","time","U","I","V"
"95",9.4,2964023.49066162,33025.8965306674,42051.5521301196
"96",9.5,2963551.21483695,33432.9586764774,42317.9135151027
"97",9.6,2963076.01463758,33842.1442433668,42587.5463571349
"98",9.7,2962597.85478791,34253.4843091771,42860.4678017549
"99",9.8,2962116.69985155,34667.0100514112,43136.6952440164
"100",9.9,2961632.51422913,35082.7527493126,43416.2463292951
"101",10,2961145.26215593,35500.7437859391,43699.1389541127
"102",10.1,2960654.9076997,35921.0146502324,43985.3912669772
"103",10.2,2960161.4147583,36343.5969390824,44275.0216692402
"104",10.3,2959664.74705748,36768.5223593877,44568.0488159699
"105",10.4,2959164.86814858,37195.8227301098,44864.4916168418
"106",10.5,2958661.74140629,37625.5299843247,45164.3692370449
"107",10.6,2958155.33002634,38057.6761712681,45467.7010982044
"108",10.7,2957645.59702325,38492.2934583772,45774.5068793216
"109",10.8,2957132.50522805,38929.4141333276,46084.8065177287
"110",10.9,2956616.01728601,39369.0706060656,46398.6202100617
"111",11,2956096.09565439,39811.2954108361,46715.968413248
"112",11.1,2955572.70260014,40256.1212082063,47036.871845511
"113",11.2,2955045.80019766,40703.5807870845,47361.3514873908
"114",11.3,2954515.35032649,41153.7070667345,47689.4285827812
"115",11.4,2953981.31466911,41606.5330987863,48021.1246399825
"116",11.5,2953443.65470859,42062.0920692416,48356.4614327706
"117",11.6,2952902.33172639,42520.4173004748,48695.4610014819
"118",11.7,2952357.30680006,42981.5422532305,49038.145654115
"119",11.8,2951808.54080098,43445.5005286157,49384.5379674474
"120",11.9,2951255.99439211,43912.3258700878,49734.6607881687
"121",12,2950699.6280257,44382.0521654384,50088.5372340295
"122",12.1,2950139.40194104,44854.7134487724,50446.1906950066
"123",12.2,2949575.27616218,45330.3439024828,50807.6448344836
"124",12.3,2949007.21049571,45808.9778592209,51172.9235904471
"125",12.4,2948435.16452845,46290.6498038615,51542.0511766998
"126",12.5,2947859.0976252,46775.394375465,51915.0520840878
"127",12.6,2947278.96892649,47263.2463692329,52291.9510817447
"128",12.7,2946694.73734633,47754.2407384604,52672.7732183511
"129",12.8,2946106.36156991,48248.4125964834,53057.5438234096
"130",12.9,2945513.80005138,48745.7972186209,53446.2885085353
"131",13,2944917.01101159,49246.430044113,53839.0331687623
"132",13.1,2944315.9524358,49750.3466780536,54235.8039838651
"133",13.2,2943710.58207147,50257.5828933187,54636.6274196961
"134",13.3,2943100.85742597,50768.1746324892,55041.5302295378
"135",13.4,2942486.73576433,51282.1580097692,55450.5394554714
"136",13.5,2941868.17410703,51799.5693128993,55863.6824297596
"137",13.6,2941245.12922768,52320.4450050639,56280.9867762458
"138",13.7,2940617.55765084,52844.8217267943,56702.4804117676
"139",13.8,2939985.41564972,53372.7362978657,57128.1915475864
"140",13.9,2939348.65924397,53904.2257191897,57558.1486908314
"141",14,2938707.24419742,54439.3271747,57992.3806459595
"142",14.1,2938061.12601584,54978.078033234,58430.9165162297
"143",14.2,2937410.2599447,55520.5158504073,58873.7857051927
"144",14.3,2936754.60096693,56066.6783704836,59321.0179181959
"145",14.4,2936094.10380069,56616.6035282379,59772.6431639028
"146",14.5,2935428.72289713,57170.3294508141,60228.6917558274
"147",14.6,2934758.41243817,57727.8944595761,60689.1943138842
"148",14.7,2934083.12633427,58289.3370719532,61154.1817659518
"149",14.8,2933402.81822219,58854.6960032784,61623.6853494523
"150",14.9,2932717.44146279,59424.0101686207,62097.736612945
"151",15,2932026.94913877,59997.3186846106,62576.3674177345
"152",15.1,2931331.29405252,60574.6608712587,63059.609939494
"153",15.2,2930630.42872385,61156.0762537676,63547.4966699027
"154",15.3,2929924.3053878,61741.6045643361,64040.0604182976
"155",15.4,2929212.87599245,62331.285743957,64537.3343133404
"156",15.5,2928496.09219668,62925.1599442064,65039.3518046982
"157",15.6,2927773.90536802,63523.2675290267,65546.1466647383
"158",15.7,2927046.26658042,64125.6490765007,66057.7529902382
"159",15.8,2926313.12661209,64732.345380618,66574.2052041086
"160",15.9,2925574.43594328,65343.3974530337,67095.5380571318
"161",16,2924830.14475414,65958.8465248185,67621.7866297128
"162",16.1,2924080.20292253,66578.7340482001,68152.9863336456
"163",16.2,2923324.56002184,67203.1016982957,68689.1729138926
"164",16.3,2922563.16531883,67831.9913748365,69230.3824503785
"165",16.4,2921795.96777151,68465.445203882,69776.6513597974
"166",16.5,2921022.91602692,69103.5055395253,70328.0163974337
"167",16.6,2920243.95841906,69746.2149655889,70884.5146589973
"168",16.7,2919459.04296668,70393.6162973104,71446.1835824713
"169",16.8,2918668.11737122,71045.7525830188,72013.0609499742
"170",16.9,2917871.12901463,71702.6671057993,72585.1848896346
"171",17,2917068.02495727,72364.4033851485,73162.5938774799
"172",17.1,2916258.75193581,73031.0051786188,73745.3267393377
"173",17.2,2915443.25636111,73702.5164834508,74333.4226527507
"174",17.3,2914621.48431615,74378.9815381954,74926.9211489048
"175",17.4,2913793.38155394,75060.4448243233,75525.8621145691
"176",17.5,2912958.8934954,75746.9510678235,76130.2857940503
"177",17.6,2912117.96522736,76438.5452407891,76740.2327911589
"178",17.7,2911270.54150047,77135.2725629904,77355.7440711879
"179",17.8,2910416.56672713,77837.1785034357,77976.8609629049
"180",17.9,2909555.9849795,78544.3087819185,78603.6251605557
"181",18,2908688.73998742,79256.7093705515,79236.078725881
"182",18.1,2907814.77513645,79974.426495287,79874.2640901452
"183",18.2,2906934.0334658,80697.506637423,80518.2240561767
"184",18.3,2906046.4576664,81425.9965350948,81168.0018004213
"185",18.4,2905151.99007888,82159.9431847517,81823.6408750063
"186",18.5,2904250.57269158,82899.3938426192,82485.1852098174
"187",18.6,2903342.14713866,83644.3960261452,83152.6791145869
"188",18.7,2902426.65469809,84394.9975154302,83826.1672809929
"189",18.8,2901504.03628974,85151.2463546418,84505.6947847708
"190",18.9,2900574.2324735,85913.1908534121,85191.3070878355
"191",19,2899637.18344729,86680.8795882181,85883.0500404147
"192",19.1,2898692.82904528,87454.3614037454,86580.9698831937
"193",19.2,2897741.10873592,88233.6854142331,87285.1132494705
"194",19.3,2896781.96162016,89018.9010048009,87995.527167322
"195",19.4,2895815.32642955,89810.057832758,88712.2590617802
"196",19.5,2894841.14152444,90607.2058288919,89435.3567570198
"197",19.6,2893859.34489219,91410.3951987387,90164.868478555
"198",19.7,2892869.87414533,92219.6764238325,90900.8428554472
