"","time","U","I","V"
"110",10.9,0.0405758284934962,27795.3859017487,154612.577494842
"111",11,0.0257922060615905,27756.7585374904,157317.394248401
"112",11.1,0.0162666703376599,27718.1796201966,160018.451797719
"113",11.2,0.0101791126628221,27679.6509012719,162715.754951908
"114",11.3,0.00631988857754671,27641.1735196757,165409.308658712
"115",11.4,0.00389325460463318,27602.7481991875,168099.117955419
"116",11.5,0.00237970879331473,27564.3753865451,170785.187935323
"117",11.6,0.00144324637472155,27526.0553445042,173467.523725644
"118",11.7,0.000868521313806585,27487.7882148863,176146.130472904
"119",11.8,0.000518610788675413,27449.5740609511,178821.013333314
"120",11.9,0.000307276104940141,27411.412895224,181492.177466601
"121",12,0.000180653846253989,27373.3046978619,184159.628032015
"122",12.1,0.000105383112486243,27335.2494285621,186823.370185799
"123",12.2,6.09676043843377e-05,27297.2470342233,189483.409079594
"124",12.3,3.50516697673186e-05,27259.2974536826,192139.749859478
"125",12.4,1.99992546279524e-05,27221.4006211471,194792.397665284
"126",12.5,1.13444955714193e-05,27183.5564677493,197441.357630139
"127",12.6,6.4043746297637e-06,27145.7649229329,200086.634880589
"128",12.7,3.53935760149538e-06,27108.0259151968,202728.234536283
"129",12.8,1.92521850906028e-06,27070.3393723243,205366.161709874
"130",12.9,1.0311554175013e-06,27032.7052164864,208000.421886341
"131",13,5.67865575275664e-07,26995.1233805529,210631.019784853
"132",13.1,3.20079768023317e-07,26957.5937919803,213257.960498325
"133",13.2,1.77700342542695e-07,26920.1163786786,215881.249080554
"134",13.3,9.61817248566502e-08,26882.6910676406,218500.890644978
"135",13.4,5.17363363381743e-08,26845.3177865255,221116.890256902
"136",13.5,2.78208051946687e-08,26807.9964632266,223729.25296475
"137",13.6,1.48387336796628e-08,26770.7270253088,226337.983839459
"138",13.7,7.85069615607054e-09,26733.5094004005,228943.087947187
"139",13.8,4.17239511949294e-09,26696.3435166269,231544.570319146
"140",13.9,2.22646284996174e-09,26659.2293022257,234142.435978618
"141",14,1.1804036552117e-09,26622.1666848858,236736.689987235
"142",14.1,6.27340480579024e-10,26585.155593264,239327.337338851
"143",14.2,3.3541467832182e-10,26548.1959560068,241914.383028021
"144",14.3,1.84607008140354e-10,26511.2877083343,244497.831589179
"145",14.4,8.83898497500347e-11,26474.4307710989,247077.688562433
"146",14.5,3.2207182702652e-11,26437.6250731825,249653.95892586
"147",14.6,1.12243555645668e-11,26400.8705438716,252226.647629206
"148",14.7,5.79323785296603e-12,26364.1671120256,254795.759652118
"149",14.8,4.32263239812851e-12,26327.5147066019,257361.299967378
"150",14.9,3.16036831452739e-12,26290.9132566596,259923.273540652
"151",15,1.93771056354752e-12,26254.3626913581,262481.685330587
"152",15.1,9.76243034328562e-13,26217.8629399559,265036.540288893
"153",15.2,4.08905294441617e-13,26181.4139318097,267587.843360395
"154",15.3,1.51429508158869e-13,26145.0155963747,270135.599483045
"155",15.4,7.06175946059854e-14,26108.6678631906,272679.81358887
"156",15.5,5.39378257948946e-14,26072.3706619049,275220.49060233
"157",15.6,3.46132677671118e-14,26036.1239222798,277757.635439896
"158",15.7,1.14153638179805e-14,25999.9275741697,280291.253011556
