"","time","U","I","V"
"58",5.7,18975.0825001851,11018.3094565031,437.106417917997
"59",5.8,18782.4338821695,11210.7266773231,441.907549919932
"60",5.9,18589.6508131761,11403.2743417402,446.791828920153
"61",6,18396.7422739005,11595.9434664346,451.759309361465
"62",6.1,18203.7182844274,11788.7240288956,456.810041581292
"63",6.2,18010.5898929763,11981.6049786968,461.94407136519
"64",6.3,17817.3691640568,12174.5742493625,467.161439505363
"65",6.4,17624.0691660028,12367.6187708543,472.462181364427
"66",6.5,17430.7039578582,12560.7244827062,477.84632644472
"67",6.6,17237.288575587,12753.8763478353,483.313897963418
"68",6.7,17043.8390175834,12947.0583670513,488.864912433778
"69",6.8,16850.3722294578,13140.2535942908,494.499379252798
"70",6.9,16656.906088077,13333.4441525966,500.217300295619
"71",7,16463.4593848379,13526.6112508628,506.018669516996
"72",7.1,16270.0518081575,13719.7352013643,511.903472560168
"73",7.2,16076.7039251609,13912.7954380871,517.871686373478
"74",7.3,15883.437162554,14105.7705358732,523.923278835081
"75",7.4,15690.273786667,14298.6382303952,530.058208386103
"76",7.5,15497.2368826596,14491.3754389684,536.27642367261
"77",7.6,15304.3503328775,14683.9582822109,542.577863196752
"78",7.7,15111.6387943551,14876.3621065576,548.96245497744
"79",7.8,14919.1276754599,15068.5615076311,555.430116220941
"80",7.9,14726.8431116764,15260.5303544736,561.98075300175
"81",8,14534.8119405307,15452.2418146372,568.614259954121
"82",8.1,14343.0616756577,15643.6683801306,575.330519974612
"83",8.2,14151.6204800176,15834.7818942174,582.129403936034
"84",8.3,13960.5171382674,16025.5535790563,589.010770413147
"85",8.4,13769.7810283003,16215.9540641755,595.974465420484
"86",8.5,13579.4420919637,16405.9534157666,603.020322162648
"87",8.6,13389.5308049722,16595.5211667824,610.148160797442
"88",8.7,13200.0781460336,16784.6263478225,617.357788212164
"89",8.8,13011.115565208,16973.2375187836,624.64899781342
"90",8.9,12822.6749515236,17161.3228012536,632.021569330759
"91",9,12634.7885998747,17348.8499116223,639.475268634469
"92",9.1,12447.4891772306,17535.7861948804,647.009847567814
"93",9.2,12260.8096881859,17722.098659077,654.625043794023
"94",9.3,12074.7834398853,17907.754010401,662.320580658294
"95",9.4,11889.4440063598,18092.7186888508,670.096167065086
"96",9.5,11704.8251923117,18276.9589044551,677.951497370936
"97",9.6,11520.9609963895,18460.4406740016,685.886251293035
"98",9.7,11337.8855739956,18643.1298582334,693.90009383377
"99",9.8,11155.6331996724,18824.9921994658,701.992675221428
"100",9.9,10974.2382291133,19005.993359577,710.163630867236
"101",10,10793.7350608499,19186.0989583225,718.412581338875
"102",10.1,10614.1580976647,19365.274611923,726.739132350611
"103",10.2,10435.5417077844,19543.48597187,735.142874770143
"104",10.3,10257.9201859083,19720.6987638974,743.623384642263
"105",10.4,10081.3277141285,19896.8788270584,752.180223229395
"106",10.5,9905.79832279829,20071.9921528548,760.812937069025
"107",10.6,9731.36585141547,20246.0049243501,769.521058047716
"108",10.7,9558.06390957062,20418.8835552165,778.304103492537
"109",10.8,9385.92583802932,20590.594728648,787.161576279141
"110",10.9,9214.98467001065,20761.1054360753,796.092964956487
"111",11,9045.27309272372,20930.383015623,805.097743888307
"112",11.1,8876.82340922688,21098.3951902423,814.175373411116
"113",11.2,8709.66750067393,21265.1101054568,823.325300008616
"114",11.3,8543.836789012,21430.4963666552,832.546956502301
"115",11.4,8379.36220019589,21594.5230758668,841.83976225808
"116",11.5,8216.27412798296,21757.1598679566,851.203123408638
"117",11.6,8054.60239837297,21918.376946173,860.636433091321
"118",11.7,7894.37623475618,22078.1451169884,870.139071701201
"119",11.8,7735.62422383247,22236.4358241666,879.710407159051
"120",11.9,7578.3742823634,22393.2211819975,889.349795193834
"121",12,7422.65362481766,22548.474007637,899.056579639378
"122",12.1,7268.48873196939,22702.167852494,908.830092744807
"123",12.2,7115.90532050707,22854.2770326057,918.669655498311
"124",12.3,6964.92831370905,23004.7766579461,928.574577963818
"125",12.4,6815.58181323996,23153.6426606124,938.544159630079
"126",12.5,6667.88907212005,23300.8518218386,948.57768977168
"127",12.6,6521.87246891746,23446.381797785,958.674447821462
"128",12.7,6377.55348320525,23590.2111440632,968.83370375376
"129",12.8,6234.9526723314,23732.3193389464,979.054718477951
"130",12.9,6094.08964960117,23872.686805168,989.336744242147
"131",13,5954.98306376998,24011.2949304091,999.679025045341
"132",13.1,5817.65057999756,24148.1260863235,1010.08079705831
"133",13.2,5682.1088622914,24283.1636460739,1020.54128905261
"134",13.3,5548.37355743898,24416.3920003787,1031.05972283676
"135",13.4,5416.45928045385,24547.7965720445,1041.63531369898
"136",13.5,5286.37960157107,24677.363828949,1052.26727085587
"137",13.6,5158.14703480843,24805.0812954577,1062.95479790634
"138",13.7,5031.7730281096,24930.9375622592,1073.69709329023
"139",13.8,4907.26795508155,25054.9222946049,1084.49335075073
"140",13.9,4784.64110833523,25177.0262389464,1095.34275980004
"141",14,4663.90069443456,25297.2412279634,1106.24450618757
"142",14.1,4545.05383045529,25415.5601839827,1117.19777237
